date,Marzuki_EMA_Alert_1,Marzuki_EMA_Alert_2
06-Mar-2024 10:07:47,0,NaN
06-Mar-2024 14:15:36,0,NaN
11-Mar-2024 13:01:58,0,NaN
11-Mar-2024 13:02:08,1,18
12-Mar-2024 12:34:24,1,NaN
12-Mar-2024 12:36:22,0,NaN
12-Mar-2024 12:36:34,1,NaN
12-Mar-2024 12:38:13,1,NaN
12-Mar-2024 12:42:24,1,NaN
12-Mar-2024 12:44:14,1,NaN
12-Mar-2024 14:44:40,1,NaN
12-Mar-2024 14:47:01,NaN,NaN
12-Mar-2024 14:47:37,NaN,NaN
12-Mar-2024 14:57:33,1,NaN
12-Mar-2024 15:04:53,1,NaN
12-Mar-2024 20:15:04,1,NaN
13-Mar-2024 12:15:42,1,NaN
13-Mar-2024 12:15:57,1,NaN
14-Mar-2024 09:39:35,1,NaN
14-Mar-2024 09:39:52,1,NaN
14-Mar-2024 09:45:18,1,NaN
14-Mar-2024 10:51:47,1,NaN
14-Mar-2024 11:29:09,1,NaN
14-Mar-2024 15:00:21,1,NaN
15-Mar-2024 09:00:36,1,NaN
18-Mar-2024 20:32:48,1,NaN
19-Mar-2024 10:32:05,1,NaN
