date,Marzuki_EMA_withoutSleep_1,Marzuki_EMA_withoutSleep_2,Marzuki_EMA_withoutSleep_3,Marzuki_EMA_withoutSleep_4,Marzuki_EMA_withoutSleep_5,Marzuki_EMA_withoutSleep_6,Marzuki_EMA_withoutSleep_7
24-May-2024 15:14:53,1,2,1,,0,,
24-May-2024 16:21:39,1,2,1,,1,,
24-May-2024 19:08:13,1,2,2,,1,,
25-May-2024 11:52:23,1,2,1,,1,,
25-May-2024 12:43:10,1,2,1,,1,,
25-May-2024 18:32:47,1,3,1,,2,,
25-May-2024 20:36:35,2,3,1,,1,,
26-May-2024 18:33:50,1,3,1,,1,,
27-May-2024 13:30:58,1,2,2,,1,,
27-May-2024 17:22:44,1,3,1,,1,,
27-May-2024 21:18:01,1,2,2,,2,,
28-May-2024 14:56:46,2,2,2,,1,,
28-May-2024 17:07:02,1,2,1,,1,,
28-May-2024 19:35:27,1,2,1,,1,,
29-May-2024 15:49:21,1,3,1,,1,,
29-May-2024 18:30:52,1,2,2,,1,,
29-May-2024 20:53:47,1,3,2,,1,,
30-May-2024 17:06:58,2,2,2,,1,,
30-May-2024 17:07:25,2,2,2,,1,,
30-May-2024 20:09:27,2,2,2,,2,,
31-May-2024 13:01:40,1,3,2,,1,,
31-May-2024 16:00:33,1,2,1,,1,,
31-May-2024 19:42:09,2,2,2,,1,,
01-Jun-2024 13:03:12,1,3,1,,1,,
01-Jun-2024 15:01:23,1,3,2,,NaN,NaN,NaN
01-Jun-2024 20:14:03,1,3,2,,1,,
02-Jun-2024 15:00:33,1,3,2,,0,,
02-Jun-2024 17:00:53,1,3,2,,1,,
02-Jun-2024 21:00:45,1,2,1,,1,,
03-Jun-2024 13:11:28,1,2,1,,1,,
03-Jun-2024 18:00:32,1,2,1,,1,,
04-Jun-2024 15:46:48,2,2,2,,1,,
04-Jun-2024 17:18:02,2,2,2,,1,,
04-Jun-2024 20:42:17,2,2,2,,1,,
05-Jun-2024 15:00:45,1,2,1,,1,,
05-Jun-2024 19:31:03,1,2,1,,1,,
06-Jun-2024 15:33:02,1,3,1,,1,,
06-Jun-2024 19:50:07,1,3,1,,1,,
