date,Marzuki_EMA_Alert_1,Marzuki_EMA_Alert_2
26-May-2024 12:01:20,0,NaN
26-May-2024 14:23:32,0,NaN
26-May-2024 19:24:51,0,NaN
27-May-2024 02:34:05,0,NaN
27-May-2024 12:33:26,0,NaN
28-May-2024 11:51:09,0,NaN
28-May-2024 15:51:57,0,NaN
29-May-2024 04:29:16,0,NaN
29-May-2024 14:01:03,0,NaN
29-May-2024 16:47:17,0,NaN
30-May-2024 05:39:04,0,NaN
30-May-2024 14:12:13,0,NaN
31-May-2024 16:18:19,0,NaN
31-May-2024 17:25:13,0,NaN
31-May-2024 19:33:09,0,NaN
01-Jun-2024 06:06:59,0,NaN
01-Jun-2024 19:02:36,0,NaN
02-Jun-2024 11:23:19,0,NaN
03-Jun-2024 06:08:03,0,NaN
03-Jun-2024 19:31:42,0,NaN
03-Jun-2024 22:01:02,0,NaN
04-Jun-2024 00:18:58,0,NaN
04-Jun-2024 14:24:37,0,NaN
04-Jun-2024 15:03:04,0,NaN
04-Jun-2024 18:15:55,0,NaN
05-Jun-2024 06:18:50,0,NaN
05-Jun-2024 15:13:03,0,NaN
06-Jun-2024 03:15:09,0,NaN
06-Jun-2024 08:14:24,0,NaN
06-Jun-2024 14:57:00,0,NaN
