date,Marzuki_EMA_withoutSleep_1,Marzuki_EMA_withoutSleep_2,Marzuki_EMA_withoutSleep_3,Marzuki_EMA_withoutSleep_4,Marzuki_EMA_withoutSleep_5,Marzuki_EMA_withoutSleep_6,Marzuki_EMA_withoutSleep_7
25-May-2024 13:30:44,0,3,0,,0,,
25-May-2024 18:02:34,1,3,1,,0,,
25-May-2024 19:00:34,1,3,2,,1,,
26-May-2024 12:42:26,0,3,0,,0,,
26-May-2024 15:30:31,0,3,0,,0,,
26-May-2024 20:41:34,2,2,2,,2,,
27-May-2024 14:29:40,0,3,0,,0,,
27-May-2024 19:13:57,0,2,2,,1,,
27-May-2024 21:40:37,0,2,0,,0,,
28-May-2024 13:30:42,0,2,0,,0,,
28-May-2024 16:35:27,0,2,0,,0,,
28-May-2024 20:30:26,2,1,2,,2,,
29-May-2024 14:31:07,1,2,1,,1,,
29-May-2024 17:00:30,1,2,1,,1,,
29-May-2024 20:26:55,0,2,1,,1,,
30-May-2024 15:00:42,0,2,0,,0,,
30-May-2024 18:30:31,0,3,0,,0,,
31-May-2024 13:00:27,1,2,2,,1,,
31-May-2024 17:00:50,2,2,2,,1,,
31-May-2024 20:00:36,0,3,2,,1,,
01-Jun-2024 13:00:37,0,2,0,,0,,
01-Jun-2024 16:34:15,0,2,0,,0,,
01-Jun-2024 19:41:15,0,2,1,,1,,
02-Jun-2024 13:00:29,0,3,1,,0,,
02-Jun-2024 15:08:53,0,2,0,,0,,
02-Jun-2024 19:44:31,0,3,1,,0,,
03-Jun-2024 15:04:41,0,3,0,,0,,
03-Jun-2024 17:00:27,0,2,0,,0,,
03-Jun-2024 19:30:28,1,2,1,,1,,
04-Jun-2024 13:01:49,0,2,0,,0,,
04-Jun-2024 15:30:25,1,2,1,,1,,
04-Jun-2024 18:01:29,0,2,0,,0,,
05-Jun-2024 12:32:24,1,2,0,,0,,
05-Jun-2024 12:49:04,1,2,0,,0,,
05-Jun-2024 17:00:23,0,2,0,,0,,
05-Jun-2024 20:57:44,1,2,1,,1,,
06-Jun-2024 15:08:22,1,2,1,,1,,
06-Jun-2024 17:00:28,0,3,0,,0,,
06-Jun-2024 19:30:25,0,2,0,,0,,
07-Jun-2024 14:00:57,2,2,2,,1,,
07-Jun-2024 16:42:54,1,2,1,,1,,
07-Jun-2024 19:52:59,1,2,1,,1,,
