date,Marzuki_EMA_withoutSleep_1,Marzuki_EMA_withoutSleep_2,Marzuki_EMA_withoutSleep_3,Marzuki_EMA_withoutSleep_4,Marzuki_EMA_withoutSleep_5,Marzuki_EMA_withoutSleep_6,Marzuki_EMA_withoutSleep_7
27-May-2024 13:44:58,2,1,3,,1,,
27-May-2024 13:45:20,1,1,1,,2,,
27-May-2024 16:00:47,3,1,3,,2,,
28-May-2024 14:08:04,1,1,1,,1,,
29-May-2024 04:28:31,2,2,2,,2,,
29-May-2024 04:29:07,2,2,1,,2,,
29-May-2024 14:00:36,3,1,3,,3,,
29-May-2024 14:00:55,3,3,2,,3,,
29-May-2024 18:37:03,1,1,1,,1,,
29-May-2024 18:37:21,2,2,2,,2,,
29-May-2024 21:03:01,3,3,3,,3,,
30-May-2024 14:11:45,2,2,2,,2,,
30-May-2024 14:12:05,1,2,1,,2,,
30-May-2024 19:02:09,4,0,4,,3,,
31-May-2024 01:36:23,1,1,1,,2,,
31-May-2024 16:17:48,1,1,1,,1,,
31-May-2024 16:18:12,1,2,1,,2,,
31-May-2024 17:25:06,2,2,2,,2,,
31-May-2024 19:32:16,3,3,3,,4,,
31-May-2024 19:33:02,4,4,4,,3,,
01-Jun-2024 16:40:05,2,2,2,,3,,
01-Jun-2024 16:40:26,2,2,2,,3,,
01-Jun-2024 19:02:29,3,2,3,,4,,
01-Jun-2024 20:30:26,4,4,4,,4,,
01-Jun-2024 20:30:46,2,2,2,,2,,
02-Jun-2024 13:05:44,2,2,2,,2,,
02-Jun-2024 13:06:00,2,2,2,,2,,
03-Jun-2024 05:50:33,2,2,1,,2,,
03-Jun-2024 05:50:51,2,2,1,,2,,
03-Jun-2024 05:51:15,1,1,1,,1,,
03-Jun-2024 05:51:45,1,2,2,,2,,
03-Jun-2024 13:06:22,1,1,1,,2,,
03-Jun-2024 19:31:14,2,2,2,,2,,
03-Jun-2024 19:31:33,3,3,3,,2,,
04-Jun-2024 14:24:36,2,3,2,,1,,
04-Jun-2024 14:24:36,4,4,3,,4,,
04-Jun-2024 15:02:49,2,2,2,,2,,
05-Jun-2024 06:18:24,3,4,3,,2,,
05-Jun-2024 06:18:43,3,3,3,,4,,
05-Jun-2024 15:12:39,3,2,3,,3,,
05-Jun-2024 15:12:56,2,2,2,,2,,
05-Jun-2024 17:54:15,1,1,1,,2,,
06-Jun-2024 14:56:29,4,1,3,,2,,
06-Jun-2024 14:56:52,1,1,2,,2,,
06-Jun-2024 15:39:12,2,2,2,,2,,
06-Jun-2024 18:19:16,2,2,2,,2,,
06-Jun-2024 18:19:34,2,2,2,,2,,
